,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
31,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,B,0,1,0,19,40,mixedType,0,1,0,1,0,18,0,-14,0,0
32,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,B,0,1,0,21,69,mixedType,0,1,0,1,0,20,2,-12,2,0
33,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,B,0,1,0,23,80,mixedType,0,1,0,1,0,22,4,-10,4,0
34,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,B,0,1,0,25,93,mixedType,0,1,0,1,0,24,6,-8,6,0
35,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,B,0,1,0,27,78,mixedType,0,1,0,1,0,26,8,-6,8,0
36,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,M,0,0,1,33,84,mixedType,0,1,0,1,1,32,14,0,14,0
37,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,M,0,0,1,39,86,mixedType,0,1,0,1,1,38,20,6,20,6
38,Bundock et al. (2021),2,multiProbe,0,1,1,1,A,1,0,0,1,0,singleType,1,0,0,0,0,0,-29,-96,0,0
39,Bundock et al. (2021),2,multiProbe,0,1,1,1,A,1,0,0,3,0,singleType,1,0,0,0,0,2,-27,-94,0,0
40,Bundock et al. (2021),2,multiProbe,0,1,1,1,A,1,0,0,6,0,singleType,1,0,0,0,0,5,-24,-91,0,0
41,Bundock et al. (2021),2,multiProbe,0,1,1,1,A,1,0,0,12,0,singleType,1,0,0,0,0,11,-18,-85,0,0
42,Bundock et al. (2021),2,multiProbe,0,1,1,1,A,1,0,0,19,0,singleType,1,0,0,0,0,18,-11,-78,0,0
43,Bundock et al. (2021),2,multiProbe,0,1,1,1,B,0,1,0,30,11,singleType,1,0,0,1,0,29,0,-67,0,0
44,Bundock et al. (2021),2,multiProbe,0,1,1,1,B,0,1,0,50,14,singleType,1,0,0,1,0,49,20,-47,20,0
45,Bundock et al. (2021),2,multiProbe,0,1,1,1,B,0,1,0,77,7,singleType,1,0,0,1,0,76,47,-20,47,0
46,Bundock et al. (2021),2,multiProbe,0,1,1,1,B,0,1,0,93,39,singleType,1,0,0,1,0,92,63,-4,63,0
47,Bundock et al. (2021),2,multiProbe,0,1,1,1,M,0,0,1,97,4,singleType,1,0,0,1,1,96,67,0,67,0
48,Bundock et al. (2021),2,multiProbe,0,1,1,1,M,0,0,1,102,14,singleType,1,0,0,1,1,101,72,5,72,5
49,Bundock et al. (2021),2,multiProbe,0,1,1,1,M,0,0,1,107,11,singleType,1,0,0,1,1,106,77,10,77,10
50,Bundock et al. (2021),2,multiProbe,0,1,1,1,M,0,0,1,114,14,singleType,1,0,0,1,1,113,84,17,84,17
51,Bundock et al. (2021),2,multiProbe,0,1,1,1,M,0,0,1,119,14,singleType,1,0,0,1,1,118,89,22,89,22
